"HolderAddress","BalanceInETH","Timeframe"
0x41e4bd91c3e0000ca565749100ff81f559fe6358,3197.593594611192823808,31 to 90 days
0xe7800650df8329b8edbcaafb4685a4d9c324d8be,3195.024285871241166848,181 to 360 days
0xada5776200924a1c74a6f7aac0191210f6cbde4f,3096.003137974799171584,Over 360 days
0x52941d8cb248bd71018b98b88075f493aca2798f,3041.073561029999853568,Over 360 days
0xf60f587d07e52ba306a9c4a75d35a752bfa3a922,3040.809823724031705088,31 to 90 days
0x81caac0dffbcb176cbeb90cd7ad69dcad987034d,3000.549282830226030592,Over 360 days
0xa57e77e5d75e3e62e896797ab98993409aaaac66,2988.00000057571803136,31 to 90 days
0x94b2c9278bd74593f932505944f4fcfe676f5e3a,2973.6,Over 360 days
0x8fca4ade3a517133ff23ca55cdaea29c78c990b8,2964.224158169999867904,181 to 360 days
0xbc7cdcfba8328c6d8db2a50296a10d142f13843b,2942.192586029999849472,31 to 90 days
0x2e27ad425fac3b8a25388bb59d086dcc70a3bb8a,2928.900153124550344704,31 to 90 days
0xe008464f754e85e37bca41cce3fbd49340950b29,2914.985024847506571264,Up to 30 days
0x739c6a2588b29ad2d5ab5633aaa2d102ee00dc5d,2899.749101563039186944,181 to 360 days
0xaa364c1a348f9517009207a1601e0a73c1cd530b,2878.14306492033794048,Over 360 days
0x68d3a973e7272eb388022a5c6518d9b2a2e66fbf,2846.467534895818735616,91 to 180 days
0xb800fef76dadbf90cae789c4a49590de8e0b1c4d,2845.636311898673119232,Up to 30 days
0x29420db52aa14f02557d08e2cee2d3fe3e80cbea,2798.282679827981402112,181 to 360 days
0x6d03769720335fb8a3abd64e39919d43cadcdb2a,2753.511871397805162496,Up to 30 days
0xa63523cd6f85e56d0ff49fc209964edb3834362f,2741.09589041095901184,Up to 30 days
0x8183d16811395276cc45bad1ef4eb8b359247352,2728.999999999999737856,Over 360 days
0x18c54ea0251e9507efbf8fcbe886704ea162838e,2728.934704827710570496,Up to 30 days
0xf01b0611b6bdfb87e6790f8e4193027f7127f55d,2728.07103067449982976,Up to 30 days
0x0eafb94ccc7cea4d66cca45697bc2f98aa6081bd,2725.86593999999991808,181 to 360 days
0x62ebaab7534836c992b3638b3c5ce257e7190b99,2703.373235220114833408,Up to 30 days
0xa8f9c1dc37fc800c251c4780961794771b08621a,2699.560627367794180096,91 to 180 days
0x028a2c4fba00a5c40a0b90bc99d20521ebe5fdff,2698.90410958904098816,Over 360 days
0xb939304eb2b93c9c95150f816a7c9d0958f0fb5a,2697.33267147622449152,Up to 30 days
0xc8e3a3deb78a2edede55ddc4fe635ddc4fcd160b,2695.128752463070887936,Over 360 days
0x515e15379381ce9912d926e3e9b280cc0179b9a0,2674.460000000000131072,Over 360 days
0xcdac576fa346c3febe08b4f1637920b5d1f660a4,2586.442699999999950848,Over 360 days
0xda66f1ca4a6e650ec171f69bb654af61bf7e3803,2570.43681640554430464,Over 360 days
0x5a9085d7d219b39fa3aa63284b9efda90b5c5b8d,2552.87145730460090368,Over 360 days
0xc985dd35fedb5e08b0fed1cdd6027ce5118d27d4,2512.83011145688416256,Up to 30 days
0x3e99de31d396350961a072ba23d957926ed6af32,2500.810768699999911936,181 to 360 days
0x9b2f209d4246135cf4fcb798803315d8c693d459,2500.217257429999550464,Over 360 days
0x285dd7ffd0fca118a2591db743cb78b505814ddb,2500.0,31 to 90 days
0x7ba066c237becdefa897da7a152e81dbbcfc487a,2497.900000000000131072,Up to 30 days
0xd1444afbe983a0d389f2902e27d2c7f9e8146be8,2496.765098338799321088,Over 360 days
0x9c7cb6563c8bd9956df9fbe4207b45d286397e10,2494.45372102392152064,Up to 30 days
0x5e8304b5600cccba6d6292c6687ac9ead0ec6288,2483.6,Over 360 days
0x775217bd869962920be6afd58b98fa45d2eff4b8,2481.314960369999937536,91 to 180 days
0x36a26a0cd97c1f0c05f89a945a4fde58affbaa61,2476.73799999999967232,91 to 180 days
0x19ae3a12d71b9005cdf51410aa5ed44eeb84005e,2472.246666670012104704,Up to 30 days
0x6cd23b14e642f631648e89a90c8dd43d320f44b0,2466.0,Over 360 days
0x3d2ee13ab157c0e2a70b03c7330941395266b49c,2458.536432870000427008,Up to 30 days
0xea1c92d76387113993213802e9616d8596daeb86,2426.223789199999893504,91 to 180 days
0x0c387f788d256258453fb32d8bb91d3e1569e1e8,2395.702536950000386048,181 to 360 days
0xbc7bf24e8c2a6aec296f7c70ae60e8f7f95fe1a0,2391.973593131637014528,181 to 360 days
0x380b7308bb8fbb4e7e235c2216898907b49d3f6a,2385.557530614377218048,Over 360 days
0x3771650789dcfa6b99172394a9445a3e766d23bc,2379.226734210000093184,91 to 180 days
0x2d94608770bb8c75dff0698113b3177dc570b882,2362.805108399827058688,91 to 180 days
0x29b9f72c2314941b340e62ab12f1a2f97e76e340,2338.297768105150251008,Up to 30 days
0xcdbbf3d4168712274bed2d167ae17d7f454e53af,2333.782299999999885312,Over 360 days
0x433c7cb3014339943026aa0c549fddaf87cc8a13,2301.7740283571470336,181 to 360 days
